,date_id,country_id,income_per_person
871,5,100,573
872,5,101,350
873,5,102,1120
874,5,103,843
875,5,104,603
876,5,105,782
877,5,106,540
878,5,107,528
879,5,108,941
880,5,109,1480
881,5,110,519
882,5,111,621
883,5,112,1960
884,5,113,592
885,5,114,1060
886,5,115,715
887,5,116,391
888,5,117,594
889,5,118,540
890,5,119,554
891,5,120,621
892,5,121,3330
893,5,122,659
894,5,123,974
895,5,124,446
896,5,125,857
897,5,126,249
898,5,127,690
899,5,128,2550
900,5,129,916
901,5,130,1020
902,5,131,839
903,5,132,675
904,5,133,848
905,5,134,547
906,5,135,836
907,5,136,1040
908,5,137,1090
909,5,138,1000
910,5,139,1960
911,5,140,1110
912,5,141,377
913,5,142,1440
914,5,143,433
915,5,144,1400
916,5,145,1410
917,5,146,857
918,5,147,2370
919,5,148,497
920,5,149,1360
921,5,150,804
922,5,151,734
923,5,152,1020
924,5,153,1430
925,5,154,1410
926,5,155,363
927,5,156,696
928,5,157,2180
929,5,158,462
930,5,159,508
931,5,160,1630
932,5,161,799
933,5,162,1170
934,5,163,875
935,5,164,838
936,5,165,519
937,5,166,1640
938,5,167,1390
939,5,168,2700
940,5,169,503
941,5,170,557
942,5,171,562
943,5,172,795
944,5,173,525
945,5,174,683
946,5,175,663
947,5,176,1230
948,5,177,716
949,5,178,1200
950,5,179,947
951,5,180,719
952,5,181,464
953,5,182,767
954,5,183,1010
955,5,184,3140
956,5,185,2010
957,5,186,1840
958,5,187,503
959,5,188,586
960,5,189,1190
961,5,190,778
962,5,191,887
963,5,192,670
964,5,193,873
965,6,1,603
966,6,2,668
967,6,3,720
968,6,4,1210
969,6,5,631
970,6,6,757
971,6,7,1660
972,6,8,514
973,6,9,841
974,6,10,1880
975,6,11,776
976,6,12,1450
977,6,13,1260
978,6,14,876
979,6,15,914
980,6,16,609
981,6,17,2400
982,6,18,579
983,6,19,597
984,6,20,630
985,6,21,854
986,6,22,669
987,6,23,398
988,6,24,1120
989,6,25,1510
990,6,26,1090
991,6,27,480
992,6,28,420
993,6,29,385
994,6,30,627
995,6,31,1360
996,6,32,530
997,6,33,424
998,6,34,418
999,6,35,744
1000,6,36,729
1001,6,37,913
1002,6,38,700
1003,6,39,495
1004,6,40,583
1005,6,41,776
1006,6,42,829
1007,6,43,1130
1008,6,44,940
1009,6,45,854
1010,6,46,1920
1011,6,47,2030
1012,6,48,764
1013,6,49,664
1014,6,50,667
1015,6,51,529
1016,6,52,1600
1017,6,53,975
1018,6,54,358
1019,6,55,532
1020,6,56,943
1021,6,57,490
1022,6,58,523
1023,6,59,785
1024,6,60,1260
1025,6,61,1850
1026,6,62,391
1027,6,63,815
1028,6,64,543
1029,6,65,2070
1030,6,66,698
1031,6,67,1400
1032,6,68,959
1033,6,69,858
1034,6,70,451
1035,6,71,567
1036,6,72,1220
1037,6,73,634
1038,6,74,675
1039,6,75,1250
1040,6,76,927
1041,6,77,845
1042,6,78,971
1043,6,79,1530
1044,6,80,3840
1045,6,81,1510
1046,6,82,880
1047,6,83,2940
1048,6,84,1360
1049,6,85,1020
1050,6,86,1130
1051,6,87,1150
1052,6,88,867
1053,6,89,553
1054,6,90,1120
1055,6,91,508
1056,6,92,865
1057,6,93,755
1058,6,94,2160
1059,6,95,352
1060,6,96,797
1061,6,97,1050
1062,6,98,1280
1063,6,99,1450
1064,6,100,573
1065,6,101,350
1066,6,102,1120
1067,6,103,843
1068,6,104,603
1069,6,105,782
1070,6,106,541
1071,6,107,528
1072,6,108,941
1073,6,109,1460
1074,6,110,519
1075,6,111,621
1076,6,112,1960
1077,6,113,593
1078,6,114,1060
1079,6,115,715
1080,6,116,392
1081,6,117,594
1082,6,118,541
1083,6,119,554
1084,6,120,621
1085,6,121,3330
1086,6,122,659
1087,6,123,974
1088,6,124,446
1089,6,125,859
1090,6,126,249
1091,6,127,691
1092,6,128,2550
1093,6,129,916
1094,6,130,1020
1095,6,131,839
1096,6,132,675
1097,6,133,848
1098,6,134,547
1099,6,135,836
1100,6,136,1070
1101,6,137,1090
1102,6,138,976
1103,6,139,1870
1104,6,140,1120
1105,6,141,377
1106,6,142,1440
1107,6,143,434
1108,6,144,1400
1109,6,145,1410
1110,6,146,858
1111,6,147,2370
1112,6,148,497
1113,6,149,1360
1114,6,150,807
1115,6,151,734
1116,6,152,1020
1117,6,153,1430
1118,6,154,1410
1119,6,155,363
1120,6,156,697
1121,6,157,2060
1122,6,158,462
1123,6,159,508
1124,6,160,1640
1125,6,161,799
1126,6,162,1170
1127,6,163,875
1128,6,164,839
1129,6,165,519
1130,6,166,1640
1131,6,167,1480
1132,6,168,2700
1133,6,169,503
1134,6,170,557
1135,6,171,562
1136,6,172,795
1137,6,173,526
1138,6,174,683
1139,6,175,663
1140,6,176,1230
1141,6,177,716
1142,6,178,1200
1143,6,179,948
1144,6,180,719
1145,6,181,464
1146,6,182,767
1147,6,183,1020
1148,6,184,3280
1149,6,185,2060
1150,6,186,1840
1151,6,187,503
1152,6,188,586
1153,6,189,1180
1154,6,190,778
1155,6,191,889
1156,6,192,671
1157,6,193,874
1158,7,1,603
1159,7,2,668
1160,7,3,721
1161,7,4,1210
1162,7,5,634
1163,7,6,757
1164,7,7,1670
1165,7,8,514
1166,7,9,845
1167,7,10,1890
1168,7,11,776
1169,7,12,1450
1170,7,13,1270
1171,7,14,876
1172,7,15,914
1173,7,16,610
1174,7,17,2410
1175,7,18,579
1176,7,19,597
1177,7,20,630
1178,7,21,854
1179,7,22,669
1180,7,23,398
1181,7,24,1120
1182,7,25,1510
1183,7,26,1090
1184,7,27,480
1185,7,28,420
1186,7,29,385
1187,7,30,627
1188,7,31,1360
1189,7,32,530
1190,7,33,424
1191,7,34,418
1192,7,35,744
1193,7,36,727
1194,7,37,908
1195,7,38,700
1196,7,39,497
1197,7,40,585
1198,7,41,776
1199,7,42,832
1200,7,43,1140
1201,7,44,948
1202,7,45,854
1203,7,46,1920
1204,7,47,2030
1205,7,48,766
1206,7,49,664
1207,7,50,668
1208,7,51,529
1209,7,52,1600
1210,7,53,975
1211,7,54,358
1212,7,55,532
1213,7,56,944
1214,7,57,490
1215,7,58,523
1216,7,59,786
1217,7,60,1260
1218,7,61,1850
1219,7,62,391
1220,7,63,816
1221,7,64,543
1222,7,65,2080
1223,7,66,699
1224,7,67,1410
1225,7,68,959
1226,7,69,858
1227,7,70,451
1228,7,71,567
1229,7,72,1220
1230,7,73,634
1231,7,74,675
1232,7,75,1250
1233,7,76,927
1234,7,77,841
1235,7,78,967
1236,7,79,1530
1237,7,80,3840
1238,7,81,1520
1239,7,82,880
1240,7,83,3010
1241,7,84,1360
1242,7,85,1020
1243,7,86,1130
1244,7,87,1150
1245,7,88,870
1246,7,89,554
1247,7,90,1120
1248,7,91,509
1249,7,92,865
1250,7,93,756
1251,7,94,2160
1252,7,95,352
1253,7,96,798
1254,7,97,1050
1255,7,98,1280
1256,7,99,1450
1257,7,100,573
1258,7,101,350
1259,7,102,1120
1260,7,103,843
1261,7,104,603
1262,7,105,782
1263,7,106,541
1264,7,107,528
1265,7,108,941
1266,7,109,1430
1267,7,110,520
1268,7,111,622
1269,7,112,1960
1270,7,113,593
1271,7,114,1060
1272,7,115,715
1273,7,116,392
1274,7,117,594
1275,7,118,541
1276,7,119,554
1277,7,120,621
1278,7,121,3330
1279,7,122,659
1280,7,123,974
1281,7,124,446
1282,7,125,860
1283,7,126,248
1284,7,127,691
1285,7,128,2560
1286,7,129,916
1287,7,130,1020
1288,7,131,840
1289,7,132,675
1290,7,133,848
1291,7,134,547
1292,7,135,836
1293,7,136,1100
1294,7,137,1090
1295,7,138,952
1296,7,139,1740
1297,7,140,1120
1298,7,141,377
1299,7,142,1440
1300,7,143,434
1301,7,144,1400
1302,7,145,1420
1303,7,146,860
1304,7,147,2370
1305,7,148,498
1306,7,149,1360
1307,7,150,811
1308,7,151,735
1309,7,152,1020
1310,7,153,1430
1311,7,154,1410
1312,7,155,363
1313,7,156,698
1314,7,157,2060
1315,7,158,462
1316,7,159,508
1317,7,160,1650
1318,7,161,799
1319,7,162,1170
1320,7,163,875
1321,7,164,839
1322,7,165,519
1323,7,166,1640
1324,7,167,1500
1325,7,168,2700
1326,7,169,503
1327,7,170,558
1328,7,171,563
1329,7,172,795
1330,7,173,527
1331,7,174,683
1332,7,175,663
1333,7,176,1230
1334,7,177,716
1335,7,178,1200
1336,7,179,950
1337,7,180,719
1338,7,181,464
1339,7,182,768
1340,7,183,1020
1341,7,184,3220
1342,7,185,2090
1343,7,186,1850
1344,7,187,503
1345,7,188,586
1346,7,189,1170
1347,7,190,778
1348,7,191,892
1349,7,192,673
1350,7,193,875
1351,8,1,603
1352,8,2,668
1353,8,3,722
1354,8,4,1210
1355,8,5,637
1356,8,6,758
1357,8,7,1680
1358,8,8,514
1359,8,9,850
1360,8,10,1900
1361,8,11,776
1362,8,12,1450
1363,8,13,1270
1364,8,14,876
1365,8,15,914
1366,8,16,610
1367,8,17,2410
1368,8,18,579
1369,8,19,597
1370,8,20,630
1371,8,21,854
1372,8,22,669
1373,8,23,398
1374,8,24,1120
1375,8,25,1510
1376,8,26,1090
1377,8,27,480
1378,8,28,421
1379,8,29,385
1380,8,30,627
1381,8,31,1370
1382,8,32,530
1383,8,33,425
1384,8,34,419
1385,8,35,744
1386,8,36,726
1387,8,37,904
1388,8,38,701
